BOR;AN;FI;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;PDSA;NRML;NBLIB;CAR;SAMUSDIS
SMURSAMU;2013;670000272;670780543;1;1;0;0;0;;0;0;168;168;0;0;1;0;0;775;87;0;0;0;0;862;319;55;55;32;181;451;48;136;282;169;;;;;;;;;;;;;;;
SMURSAMU;2013;670000397;670780691;1;1;0;0;0;670780691;0;0;172;172;172;0;0;0;0;1198;208;0;0;0;0;1406;551;80;15;153;388;748;27;221;457;291;;;;;;;;;;;;;;;
SMURSAMU;2013;670783273;670780055;1;0;0;1;0;;0;0;113;96;;;;;;0;563;356;;21;;584;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2013;680000684;680000973;1;1;0;0;0;;0;0;336;336;;;;;;1914;1039;;;;;2953;675;182;;160;333;1613;;;1195;418;;;;;;;;;;;;;;;
SMURSAMU;2013;680004546;680000486;1;1;0;0;0;;0;1;396;504;0;;1;;;3470;812;;322;249;;4853;1811;453;33;202;1137;3135;260;635;1993;1142;277921;270211;263819;134054;119164;30759;272;208;64;588;1;0;0;2793;0
SMURSAMU;2013;690000575;690782222;1;1;0;0;0;;0;0;48;35;35;;;;;1452;24;;;;;1476;;148;39;;;1253;159;262;1058;195;;;;;;;;;;;;;;;
SMURSAMU;2013;690000625;690782271;1;1;0;0;0;690000625;0;0;34;67;0;;1;;;487;42;;;;;529;79;57;;22;;403;56;61;113;290;;;;;;;;;;;;;;;
SMURSAMU;2013;690783154;690781810;1;1;0;0;0;690781810;0;1;816;568;792;6;4;3;0;4804;2714;0;617;513;0;8648;2708;665;113;326;1604;2821;298;444;880;1941;444878;371789;337460;316433;261123;105338;681;336;345;1521;1;1;0;1042;0
SMURSAMU;2013;690784137;690781810;1;0;0;0;1;690781810;0;0;336;168;336;1;1;0;0;2913;1163;0;7;3;0;4086;1519;227;91;240;961;1405;139;265;468;937;;;;;;;;;;;;;;;
SMURSAMU;2013;690784152;690781810;1;0;0;0;1;690781810;0;0;84;84;84;0;1;0;0;1394;20;0;0;0;0;1414;733;185;49;51;448;664;76;137;149;515;;;;;;;;;;;;;;;
SMURSAMU;2013;700000011;700780026;1;1;0;0;0;;0;0;168;168;168;;1;;;536;163;0;5;1;;705;155;50;4;30;64;474;;;338;136;;;;;;;;;;;;;;;
SMURSAMU;2013;700000029;700004591;1;1;0;0;0;;0;0;252;168;84;1;2;;;1107;164;;11;;;1282;590;82;14;33;461;797;68;213;714;83;;;;;;;;;;;;;;;
SMURSAMU;2013;700780059;700004591;1;1;0;0;0;;0;0;70;70;0;;1;;;385;57;;21;;;463;52;34;6;12;73;278;21;87;55;223;;;;;;;;;;;;;;;
SMURSAMU;2013;700780208;700004591;1;1;0;0;0;700004591;0;0;168;168;0;;1;;;809;88;;16;;;913;123;69;12;42;218;522;61;144;63;459;;;;;;;;;;;;;;;
SMURSAMU;2013;710010067;710780644;1;1;0;0;0;710010067;0;0;168;168;243;;2;;;645;29;;;;;674;323;83;40;;173;426;;;371;55;;;;;;;;;;;;;;;
SMURSAMU;2013;710010786;710781451;1;1;0;0;0;;0;0;245;490;0;;1;;;448;;;;;;448;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2013;710978263;710780958;1;1;0;0;0;;0;1;376;376;376;3;3;0;0;1874;956;103;3;8;0;2841;;;;;;;;;;;218432;182508;179042;131681;96791;39300;289;181;108;552;1;0;21;1150;0
SMURSAMU;2013;710978289;710780263;1;1;0;0;0;;0;0;23;221;180;0;2;0;0;1455;49;;;;;1504;488;146;3;187;;1083;;;1068;15;;;;;;;;;;;;;;;
