BOR;AN;FI;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;EFFPL_MED;pct80;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFNS;EFFPL_INFNS;EFFPA_INFNS;ETP_INFSP;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPA_APNM;EFFPL_APNM;ETP_APNM
REA;2013;780300414;780000675;USIC;10;3650;693;;;3241;;;;;;;;;;;;;;;;;;;;;
REA;2013;780300422;780002259;REAADU;10;3650;252;256;3;3154;13;37;2;15;;2;1;1;19.32;22;;1.6;8;;7.5;;;;;;
REA;2013;780300422;780002259;SITOT;;;1;;;8;;;;;;;;;;;;;;;;;;;;;
REA;2013;780300422;780002259;SURVADU;15;5475;333;;;3311;;;2;;;2;1;1;9.1;10;;1.4;6;2;7.2;;;;;;
REA;2013;780300422;780002259;USIC;;;1;;;8;;;;;;;;;;;;;;;;;;;;;
REA;2013;780800256;780110078;AUTSI;15;5475;235;;;5651;;;;;;;;;;;;;;;;;;;;;
REA;2013;780800256;780110078;REAADU;17;6205;761;790;59;5390;2;49;12;21;;11.25;1;0;45.92;46;6;1;27;3;29.77;;;;2;4;6.18
REA;2013;780800256;780110078;SITOT;31;11315;1955;;;10902;;;;;;;;;;;;;;;;;;;;;
REA;2013;780800256;780110078;SIUNV;6;2190;706;;;2536;;;4;;2;1.5;1;0;11.8;11;1;1;13;1;12.6;;;;1;5;5.92
REA;2013;780800256;780110078;SURVADU;5;1825;166;;;2063;;;;;;;;;;;;;;;;;;;;;
REA;2013;780800256;780110078;USIC;10;3650;1014;;;2715;;;7;;2;1.85;1;0;16.83;16;2;1;5;1;6.6;;;;1;2;2.03
REA;2013;790000087;790000012;REAADU;8;2920;290;297;11;2774;4;43;5;12;2;5.65;;;27.54;19;14;0.78;10;5;14.41;1;;0.3;1;4;3.88
REA;2013;790000087;790000012;SITOT;18;6570;1695;;;5603;;;;;;;;;;;;;;;;;;;;;
REA;2013;790000087;790000012;SIUNV;4;1460;528;;;1404;;;4;;1;4;;;7.09;12;3;;12;3;6.86;;;;2;;0.56
REA;2013;790000087;790000012;SURVADU;4;964;178;;;857;;;;;;;;;1.8;1;1;;;5;5.67;;;;1;;1
REA;2013;790000087;790000012;USIC;14;5110;1167;;;4199;;;9;;;8;1;;16.29;15;3;0.59;11;3;12.18;1;;0.1;2;;0.34
REA;2013;790000095;790006654;SURVADU;4;1725;348;;;1311;;;2;;;0.4;1;;6.45;5;4;0.5;6;4;7.04;;;;;1;0.5
REA;2013;790003537;790006654;SURVADU;8;3450;708;;;3003;;;4;;;1.05;1;;12.23;9;4;0.5;7;2;8;;;;1;1;0.41
REA;2013;790009948;790001242;SURVADU;8;2920;814;;;2101;;;1;;;1;;;7;7;;;5;;5;;;;;;
REA;2013;800000143;800000028;REAADU;6;2190;233;238;15;1569;2;39;4;16;1;4.3;1;0;13.65;13;1;1;8;1;8.82;0;0;0;1;2;2.31
REA;2013;800000143;800000028;SITOT;7;2555;590;;;2029;;;;;;;;;;;;;;;;;;;;;
REA;2013;800000143;800000028;USIC;7;2555;590;;;2029;;;2;;2;3.08;0;0;9.5;5;5;0;8;2;9.22;0;0;0;0;1;1.09
REA;2013;800000192;800000044;AUTSI;4;1460;58;;;1009;;;;;;;;;;;;;;;;;;;;;
REA;2013;800000192;800000044;REAADU;24;8760;1027;1077;39;7438;27;;12;7;;9.38;2;;64.29;49;19;2.67;23;2;24.61;;;;4;9;11.93
REA;2013;800000192;800000044;REAENF;6;2190;211;224;15;1643;54;;5;;1;2.58;1;1;7.58;7;1;1.5;;;0.12;;;;;;
