BOR;AN;FI;FI_EJ;INTMED;INTPHA;INTODO;INTGEN;FFI;INTTOT
Q22;2013;540000023;540000049;1;0;0;6;1;8
Q22;2013;540000155;540000080;;1;;8;;9
Q22;2013;540000163;540020112;14;;;;;14
Q22;2013;540000296;540000106;1;;;;;1
Q22;2013;540000312;540000114;1;0;0;1;;2
Q22;2013;540000395;540000122;3;;;;;3
Q22;2013;540000478;540003449;2;;;;;2
Q22;2013;540000585;540006707;0;0;0;0;1;1
Q22;2013;540000668;540006707;;;;1;4;5
Q22;2013;540001070;540000767;4;;;13;1;18
Q22;2013;540001096;570010181;;;;9;;9
Q22;2013;540001138;540002078;78;8;9;103;8;206
Q22;2013;540001286;540003019;30;1;;;;31
Q22;2013;540002698;540002078;194;27;;29;9;259
Q22;2013;540003043;540002078;2;;;5;1;8
Q22;2013;540006459;540002078;;;;2;;2
Q22;2013;540006830;540000767;1;;;;;1
Q22;2013;540009412;540019726;2;;;;;2
Q22;2013;540009701;540019726;3;;;;;3
Q22;2013;540010568;540010519;1;;;;;1
Q22;2013;540013737;540019726;2;;;;;2
Q22;2013;540014073;540000056;20;1;;;;21
Q22;2013;540014149;540000122;1;;;;;1
Q22;2013;540020146;540006707;1;;;;4;5
Q22;2013;540023256;540020963;1;;;;;1
Q22;2013;550000012;550000020;25;1;0;;1;27
Q22;2013;550000038;550000046;;;;2;;2
Q22;2013;550000434;550003354;14;;;;2;16
Q22;2013;550003362;550000020;1;;;1;1;3
Q22;2013;560000127;560023210;35;1;;22;;58
Q22;2013;560000135;560005746;28;3;;26;;57
Q22;2013;560000143;560014748;;1;;10;3;14
Q22;2013;560000192;560000044;9;1;;;;10
Q22;2013;560000200;560023210;;;;4;;4
Q22;2013;560000382;560002032;9;;;;1;10
Q22;2013;560000697;560002677;3;;;;;3
Q22;2013;560008799;560013989;1;;;;;1
Q22;2013;570000059;570025254;16;0;0;0;2;18
Q22;2013;570000091;750050759;1;0;0;0;0;1
Q22;2013;570000117;570015099;;;;10;4;14
Q22;2013;570000125;570015099;;;;;1;1
Q22;2013;570000216;570010173;1;1;;;;2
Q22;2013;570000281;570005165;1;;;3;;4
Q22;2013;570000349;570005165;23;1;1;24;8;57
Q22;2013;570000448;750050759;;;;2;;2
Q22;2013;570000596;750821092;14;2;;27;;43
Q22;2013;570000646;570001115;1;;;;;1
Q22;2013;570000687;570025254;2;0;0;0;1;3
Q22;2013;570000885;570000133;2;;;;1;3
Q22;2013;570000893;570000141;6;;;;2;8
Q22;2013;570000901;570000158;1;1;;18;;20
Q22;2013;570000950;570000398;;;;1;;1
Q22;2013;570001016;570000513;10;;;;;10
Q22;2013;570001057;570023630;4;;;;;4
Q22;2013;570001099;570023630;3;;;;;3
Q22;2013;570005256;570005165;3;;;2;;5
Q22;2013;570011205;570005165;;;;1;;1
Q22;2013;570015750;570005165;1;;;;;1
Q22;2013;570026252;570023630;12;;;;;12
Q22;2013;570026682;570005165;48;3;1;30;24;106
Q22;2013;580004836;580780039;;;;1;;1
