BOR;AN;FI;FI_EJ;CAEH;CAEF;CUIH;CUIF;CAPH;CAPF;CAVH;CAVF;CAUH;CAUF
Q25;2013;680000338;680000114;;;;;;1;;;;
Q25;2013;680000494;680000643;3;27;;;1;1;;;;
Q25;2013;680000544;680000395;1;1;;;;1;1;1;;
Q25;2013;680000577;680000411;1;;;;1;;;2;;
Q25;2013;680000601;680000437;3;6;;;;;;;;
Q25;2013;680000627;680000486;4;4;;;0;0;;;;
Q25;2013;680000684;680000973;;;;;2;2;;;;
Q25;2013;680000700;680001005;;9;;;;;;2;;
Q25;2013;680000726;680012648;0;1;;;;;;;;
Q25;2013;680000742;680001054;3;19;0;0;0;0;1;1;0;0
Q25;2013;680000767;680001088;0;5;0;0;0;1;0;0;0;0
Q25;2013;680000833;680001138;;2;;;;;;1;;
Q25;2013;680000874;680001179;1;11;;;4;3;;;;
Q25;2013;680000882;680016011;1;15;;;;;;1;;
Q25;2013;680001195;680016011;14;42;;;1;3;2;3;;
Q25;2013;680001237;670013754;1;5;;;;;;;;
Q25;2013;680001252;680001112;1;4;;;;;;;;
Q25;2013;680001294;680000890;;;;;;1;;;;
Q25;2013;680001310;670013754;;1;;;;;;;;
Q25;2013;680001617;680016011;;4;;;;;;;;
Q25;2013;680003324;680014495;8;45;;;;1;;2;;
Q25;2013;680013240;680016011;;2;;;;;;2;;
Q25;2013;680013547;680015963;1;2;;;;;;;;
Q25;2013;690000013;690780036;2;2;;;;;3;1;;
Q25;2013;690000039;690780051;1;2;;;;;;3;;
Q25;2013;690000047;690780069;;5;;;;;;1;;
Q25;2013;690000054;690780077;2;1;;;;;;;;
Q25;2013;690000062;690780085;;6;;;;;2;6;;
Q25;2013;690000088;690780101;;;;;1;4;1;2;;
Q25;2013;690000096;690780119;;;;;;;2;3;;
Q25;2013;690000401;750000218;2;1;;;;;;;;
Q25;2013;690000583;690782230;;;;;;;4;1;;
Q25;2013;690000591;690782248;;;1;4;1;;;;;
Q25;2013;690000609;690010749;;2;;;;1;;;;
Q25;2013;690000617;690031455;1;;;;;;;;;
Q25;2013;690000625;690782271;;4;;;;;;;;
Q25;2013;690000633;690010749;;2;;;;;;;;
Q25;2013;690000641;690782297;0;1;0;0;0;0;0;0;0;0
Q25;2013;690000773;690782925;0;10;;;1;;4;6;;
Q25;2013;690000880;690783220;;;;;1;19;;;;
Q25;2013;690001524;690787338;2;1;;;;;;;;
Q25;2013;690002092;010783009;;5;;;1;;;;;
Q25;2013;690006721;010783009;;2;;;;;;;;
Q25;2013;690012109;690027008;;;;;;2;;;;
Q25;2013;690022009;690796552;0;0;0;0;1;0;0;0;0;0
Q25;2013;690022959;690000732;;;;;;1;;;;
Q25;2013;690023239;690000146;0;0;0;0;0;1;0;0;0;0
Q25;2013;690023411;690000252;;;;;;4;;;;
Q25;2013;690036108;690036090;;;;;;1;;;;
Q25;2013;690780093;750821092;;;;;2;;;;;
Q25;2013;690780200;690000112;;;;;;1;;;;
Q25;2013;690780499;690000278;;;;;;1;;;;
Q25;2013;690780507;750052276;;;;;;1;;;;
Q25;2013;690780523;750047938;;;;;;1;;;;
Q25;2013;690780655;690000377;;;;;2;;;;;
Q25;2013;690781737;750721334;;;;;1;1;;;;
Q25;2013;690782172;;;;;;1;;;1;;
Q25;2013;690782834;690000724;;;;;4;2;;;;
Q25;2013;690783154;690781810;;;;;;2;;;;
Q25;2013;690784137;690781810;;;;;;3;;;;
