BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFSP;INFNS;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2013;010000180;010007987;2100;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;3
Q24;2013;010000180;010007987;2400;0;0;2;0;2;1;9.09;0;7.53;7.37;0;0;0;24.99;0;0;0;0;0.35;27.34
Q24;2013;010000180;010007987;9999;0;0;2;0;2;1;9.09;0;7.53;8.37;3;0;0;28.99;0;0.72;0.72;0;1.02;32.73
Q24;2013;010000198;010007987;1000;0;0;0;0;0;0;0;0;0.44;0.38;0;0;0;0.82;0;0;0;0;5.52;6.34
Q24;2013;010000198;010007987;2000;0;0;0.86;0;0.86;2;9.55;0;12.38;9.82;0.15;0;0;33.9;1.57;0;1.57;0;3.39;39.72
Q24;2013;010000198;010007987;2100;0;0;0;0;0;0;0;0;0;0;0.15;0;0;0.15;0;0;0;0;0;0.15
Q24;2013;010000198;010007987;2400;0;0;0.86;0;0.86;2;9.55;0;12.38;9.82;0;0;0;33.75;1.57;0;1.57;0;3.39;39.57
Q24;2013;010000198;010007987;9999;0;0;0.86;0;0.86;2;9.55;0;12.82;10.2;0.15;0;0;34.72;1.57;0;1.57;0;8.91;46.06
Q24;2013;010000214;010007987;1000;1.5;0;27.14;0;28.64;1.3;2.36;0;8.52;11.56;0;0;2.51;26.25;0;2.34;2.34;0;47.76;104.99
Q24;2013;010000214;010007987;2000;0;0;5.75;0;5.75;6.41;52.59;0;70.57;24.49;1.25;0;11.24;166.55;0;0.15;0.15;8.74;4.17;185.36
Q24;2013;010000214;010007987;2100;0;0;1;0;1;0.3;9.29;0;8.35;3.87;1.15;0;0.24;23.2;0;0.15;0.15;8.74;0.93;34.02
Q24;2013;010000214;010007987;2400;0;0;4.75;0;4.75;6.11;43.3;0;62.22;20.62;0.1;0;11;143.35;0;0;0;0;3.24;151.34
Q24;2013;010000214;010007987;9999;1.5;0;32.89;0;34.39;7.71;54.95;0;79.09;36.05;1.25;0;13.75;192.8;0;2.49;2.49;8.74;51.93;290.35
Q24;2013;010000495;010783009;1000;5;1;57.83;;63.83;16.13;27.45;;5.26;7;0.58;;2.21;58.63;;0.31;0.31;2.64;66.02;191.43
Q24;2013;010000495;010783009;2000;;;35.69;;35.69;40.73;426.05;;96.05;73.65;46.71;;18.35;701.54;12.88;20.4;33.28;;12.08;782.59
Q24;2013;010000495;010783009;2200;;;35.69;;35.69;40.73;426.05;;96.05;73.65;46.71;;18.35;701.54;12.88;20.4;33.28;;12.08;782.59
Q24;2013;010000495;010783009;9999;5;1;93.52;;99.52;56.86;453.5;;101.31;80.65;47.29;;20.56;760.17;12.88;20.71;33.59;2.64;78.1;974.02
Q24;2013;010002129;920000395;2000;1;;5.41;;6.41;2;15.15;;18.65;15.99;0.4;;7.99;60.18;;1;1;1;1;69.59
Q24;2013;010002129;920000395;2400;1;;5.41;;6.41;2;15.15;;18.65;15.99;0.4;;7.99;60.18;;1;1;1;1;69.59
Q24;2013;010002129;920000395;9999;1;;5.41;;6.41;2;15.15;;18.65;15.99;0.4;;7.99;60.18;;1;1;1;1;69.59
Q24;2013;010005239;010008407;1000;3.14;1;37.67;0;41.81;3.27;13.45;0;10.51;15.51;0.24;0;2.45;45.43;0.1;1.5;1.6;1.41;38.61;128.86
Q24;2013;010005239;010008407;2000;0;0;17.86;0;17.86;5.38;83.84;13.9;103.81;24.95;1.26;17.24;0;250.38;0;0;0;25.95;0.76;294.95
Q24;2013;010005239;010008407;2100;0;0;16.86;0;16.86;5.09;80.27;13.9;92.08;21.67;1.26;17.24;0;231.51;0;0;0;25.95;0.76;275.08
Q24;2013;010005239;010008407;2400;0;0;1;0;1;0.29;3.57;0;11.73;3.28;0;0;0;18.87;0;0;0;0;0;19.87
Q24;2013;010005239;010008407;9999;3.14;1;55.53;0;59.67;8.65;97.29;13.9;114.32;40.46;1.5;17.24;2.45;295.81;0.1;1.5;1.6;27.36;39.37;423.81
Q24;2013;010005379;690006598;2000;0;0;0;0;0;1;4;0;0;0;0.6;0;0;5.6;0;1;1;1;0;7.6
Q24;2013;010005379;690006598;2300;0;0;0;0;0;1;4;0;0;0;0.6;0;0;5.6;0;1;1;1;0;7.6
Q24;2013;010005379;690006598;9999;0;0;0;0;0;1;4;0;0;0;0.6;0;0;5.6;0;1;1;1;0;7.6
Q24;2013;010006526;690796552;2000;;;;;;;2.24;;;;;;0.01;2.25;;;;;;2.25
Q24;2013;010006526;690796552;2100;;;;;;;2.24;;;;;;0.01;2.25;;;;;;2.25
Q24;2013;010006526;690796552;9999;;;;;;;2.24;;;;;;0.01;2.25;;;;;;2.25
Q24;2013;010007300;010007292;1000;0.5;;1.42;;1.92;;;;;;;;;;;;;;;1.92
Q24;2013;010007300;010007292;2000;;;;;;;2.5;0.54;;;;;;3.04;;;;;;3.04
Q24;2013;010007300;010007292;2100;;;;;;;2.5;0.54;;;;;;3.04;;;;;;3.04
Q24;2013;010007300;010007292;9999;0.5;;1.42;;1.92;;2.5;0.54;;;;;;3.04;;;;;;4.96
Q24;2013;010009314;010780054;2000;0.3;;3.94;;4.24;2.11;37.32;;59.45;26.23;1;;3.68;129.79;0.85;0.43;1.28;;6.32;141.63
Q24;2013;010009314;010780054;2400;;;1.5;;1.5;0.81;16.14;;23.32;8.19;1;;1.74;51.2;;0.43;0.43;;0.5;53.63
Q24;2013;010009314;010780054;2500;0.3;;2.44;;2.74;1.3;21.18;;36.13;18.04;;;1.94;78.59;0.85;;0.85;;5.82;88
Q24;2013;010009314;010780054;9999;0.3;;3.94;;4.24;2.11;37.32;;59.45;26.23;1;;3.68;129.79;0.85;0.43;1.28;;6.32;141.63
Q24;2013;010009702;010780054;2000;;;;;;0.43;4.99;;11.89;1.63;;;;18.94;0.4;;0.4;;1;20.34
Q24;2013;010009702;010780054;2500;;;;;;0.43;4.99;;11.89;1.63;;;;18.94;0.4;;0.4;;1;20.34
Q24;2013;010009702;010780054;9999;;;;;;0.43;4.99;;11.89;1.63;;;;18.94;0.4;;0.4;;1;20.34
