BOR;AN;FI;FI_EJ;DIM_A1;DIM_A2;DIM_A3;DIM_A4;DIM_A5;DIM_A6;DIM_A7;DIM_A8;DIM_A9;DIM_A10;DIM_A11;DIM_A12;DIM_A13;DIM_A14;DIM_A15;DIM_A16;DIM_A17;DIM_A18;DIM_A19;DIM_A20;DIM_A21;DIM_A22;DIM_A23;DIM_A24;DIM_A25
INFOMED;2013;110780186;110000072;;;;;;;0;0;1;;;;0;0;0;0;0;1;1;1;0;0;;0.35;0.12
INFOMED;2013;110780194;110000080;;;;;;;0;0;1;;;;0;0;0;0;0;1;1;0;0;0;;1;0.2
INFOMED;2013;110780210;110000114;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;1;0.3
INFOMED;2013;110780228;110000114;;;1;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;3.5;0.57
INFOMED;2013;110780236;110780707;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;320861818;;
INFOMED;2013;110786324;;;;;;;;1;;;1;;;0;0;0;0;0;1;1;0;0;0;;1.25;0.8
INFOMED;2013;120000039;120780044;1;;;;;;;1;;1;;;0;0;0;0;1;0;;;1;0;;4.5;1
INFOMED;2013;120000054;120780069;0;0;1;;;;0;0;1;;;;0;0;0;0;0;1;1;1;1;0;;6.86;0.5
INFOMED;2013;120000070;120780085;;1;;0;0;0;0;1;;;;;0;0;0;0;0;1;1;0;1;0;;0.6;0.4
INFOMED;2013;120000088;120780093;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;;0.5;0.03
INFOMED;2013;120000096;120780101;;1;;;;;;1;;;;;0;0;0;0;0;1;0;0;;1;460780083;1.5;0.2
INFOMED;2013;120000237;120780481;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;460780083;;
INFOMED;2013;120004569;120004528;0;1;0;;;;0;1;0;0;1;0;0;0;0;0;0;1;1;1;1;0;;3.21;1
INFOMED;2013;120004668;120004619;0;1;0;;;;0;0;1;;;;0;0;0;0;0;1;1;0;1;0;;;
INFOMED;2013;120780135;120000104;;;;;;;0;1;0;;;;0;0;0;0;0;0;;;0;0;;0.2;0.1
INFOMED;2013;120780143;120000112;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.5;0.2
INFOMED;2013;120780283;630786754;;;;;;;;;;1;0;0;0;0;0;0;0;1;1;0;0;0;;3;0.5
INFOMED;2013;130000235;130780554;;;;;;;;;;1;;;0;0;0;0;0;1;1;1;0;0;;4.6;0.46
INFOMED;2013;130000409;130041916;;1;;1;;;1;;;;;;0;0;0;0;0;1;1;0;0;0;;5.62;2.3
INFOMED;2013;130000433;130781131;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;;4.5;1
INFOMED;2013;130000516;130781339;0;1;0;;;;0;1;0;;;;0;0;0;0;0;1;1;0;0;0;;1;0.1
INFOMED;2013;130000565;130781446;1;1;1;1;;1;1;;;;;;0;0;1;0;0;1;1;0;0;0;;2.3;1
INFOMED;2013;130001225;130782634;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;;;
INFOMED;2013;130001258;130028228;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;;;0;1;300780038;1;0.2
INFOMED;2013;130001647;130784127;;;1;;;1;;;;;;;0;0;0;0;0;1;0;0;0;0;130001647;5.32;1.58
INFOMED;2013;130002215;130785512;1;;;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;1.8;0.5
INFOMED;2013;130002496;130786494;;;;;;;;;;1;;;0;0;0;0;0;;1;0;0;;;;
INFOMED;2013;130002694;040000481;0;0;1;;;;0;0;1;;;;0;0;0;1;1;1;0;0;0;0;;0.5;0.3
INFOMED;2013;130002827;130789274;1;;;;;;;;1;;1;;0;0;0;0;0;1;1;0;1;0;;1;1
INFOMED;2013;130002835;130789316;0;1;0;;;;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;;3.94;1.8
INFOMED;2013;130008253;130001084;0;0;1;;;;;;;;;;0;0;0;0;0;0;;;0;0;;1;0.3
INFOMED;2013;130012719;130000938;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;0.5;0.05
INFOMED;2013;130021488;130021439;;;;0;0;1;;;;;;;0;0;0;0;0;0;0;0;0;0;;0;0.25
INFOMED;2013;130021819;130021769;;;;;;1;;;;;;;0;0;0;0;0;1;1;0;0;0;;0.1;0.5
