BOR;AN;FI;FI_EJ;PALIA_A1;PALIA_A2;PALIA_A3;PALIA_A4;PALIA_A5;PALIA_A6;PALIA_A7;PALIA_A8;PALIA_A9;PALIA_A10;PALIA_A11;PALIA_A12;PALIA_A13;PALIA_A14;PALIA_A15;PALIA_A16;PALIA_A17;PALIA_A18;PALIA_A19;PALIA_A20
PALIA;2013;680000601;680000437;1;3;0;0;62;0;;;;0;;;;;;;;;;
PALIA;2013;680000627;680000486;1;1;;;9;0;;;;0;;;;;;;;;;
PALIA;2013;680000684;680000973;1;21;;;230;1;1;6;102;1;659;30;15;1046;210;106;71;469;420;560
PALIA;2013;680000700;680001005;1;5;2;0;49;0;;;832;0;;;;;;;;;;
PALIA;2013;680000742;680001054;1;3;3;;34;0;;;;0;;;;;;;;;;
PALIA;2013;680000833;680001138;1;3;3;;43;0;;;;0;;;;;;;;;;
PALIA;2013;680001328;750005068;1;6;6;0;70;0;;;;0;;;;;;;;;;
PALIA;2013;680003324;680014495;1;3;;;52;0;;;;0;;;;;;;;;;
PALIA;2013;680004546;680000486;1;21;;;304;1;1;9;235;1;1199;;;39;;5;34;262;14;8
PALIA;2013;680004553;680000486;1;3;3;;;0;;;;0;;;;;;;;;;
PALIA;2013;680007648;680007598;0;;;;;0;;;;1;50;3;;175;;2;172;133;12;50
PALIA;2013;690000013;690780036;1;5;;;62;0;;;;1;715;13;1;367;2;346;19;198;9;26
PALIA;2013;690000039;690780051;1;5;5;;49;0;;;;1;52;;;;;;;;;
PALIA;2013;690000047;690780069;1;3;0;0;59;0;;;;0;;;;;;;;;;
PALIA;2013;690000575;690782222;0;;;;;0;;;;1;2278;9;4;238;130;86;22;424;89;86
PALIA;2013;690000583;690782230;1;4;0;0;42;0;;;;0;;;;;;;;;;
PALIA;2013;690000591;690782248;1;4;;;1460;0;;;;0;;;;;;;;;;
PALIA;2013;690000617;690031455;1;5;;;;0;;;;0;;;;;;;;;;
PALIA;2013;690000625;690782271;1;3;;;58;0;;;;0;;;;;;;;;;
PALIA;2013;690000880;690783220;1;20;0;2;305;0;;;;1;1665;0;0;0;;;;501;46;44
PALIA;2013;690023411;690000252;1;20;0;0;;0;;;;0;;;;;;;;;;
PALIA;2013;690034558;690006598;0;;;;;0;;;;1;5;0;2;0;0;0;0;0;0;0
PALIA;2013;690780093;750821092;1;6;0;0;101;0;;;;0;;;;;;;;;;
PALIA;2013;690780366;690000203;1;3;;;92;0;;;;0;;;;;;;;;;
PALIA;2013;690780390;690000229;1;5;;;134;0;;;;0;;;;;;;;;;
PALIA;2013;690780416;690031190;0;;;;;0;;;;1;721;0;;0;;;;232;;7
PALIA;2013;690780648;690036900;1;3;;;78;0;;;;0;;;;;;;;;;
PALIA;2013;690780655;690000377;1;8;;;123;0;;;;0;;;;;;;;;;
PALIA;2013;690781737;750721334;0;;;;;1;1;10;194;1;149;14;5;358;237;112;9;222;60;40
PALIA;2013;690781836;690006598;0;;;;;0;;;;1;745;0;5;794;794;0;0;514;10;45
PALIA;2013;690782834;690000724;1;4;;;18;0;;;;0;;;;;;;;;;
PALIA;2013;690783154;690781810;1;12;0;0;48;1;1;12;34;1;1430;0;5;308;308;;;286;147;
PALIA;2013;690784061;690006598;0;;;;;0;;;;1;73;0;2;0;0;0;0;;11;
PALIA;2013;690784137;690781810;1;12;0;0;242;1;1;12;329;1;6775;;;137;137;;;924;;
PALIA;2013;690784152;690781810;1;12;0;0;76;0;;;;1;3715;;1;0;;;;438;;
PALIA;2013;690784178;690781810;1;4;0;0;64;0;;;;0;;;;;;;;;;
PALIA;2013;690784186;690781810;1;2;0;0;62;0;;;;0;;;;;;;;;;
PALIA;2013;690784194;690781810;1;2;;;;1;1;10;102;0;;;;;;;;;;
PALIA;2013;690788930;690001623;1;110;0;0;;0;;;;1;0;;;1010;20;17;973;212;3;
PALIA;2013;690793468;690002068;1;4;;;61;0;;;;0;;;;;;;;;;
PALIA;2013;690805361;690805353;0;;;;;0;;;;1;;;;;;;;;;
PALIA;2013;700000011;700780026;1;3;;;;0;;;;1;1486;8;8;253;;95;7;176;48;2
PALIA;2013;710006859;710000118;1;3;0;0;63;0;;;;0;;;;;;;;;;
PALIA;2013;710010067;710780644;1;6;;;56;0;;;;1;983;7;4;979;779;96;104;212;15;2
PALIA;2013;710010786;710781451;1;2;0;0;;0;;;;0;;;;;;;;;;
PALIA;2013;710780917;710000274;1;4;0;0;128;0;;;0;0;;;;;;;;;;
PALIA;2013;710978107;710781592;1;2;;;52;0;;;;0;;;;;;;;;;
PALIA;2013;710978131;710781089;1;4;;;54;0;;;;0;;;;;;;;;;
PALIA;2013;710978156;710780214;1;4;;;;0;;;;0;;;;;;;;;;
PALIA;2013;710978180;710781360;1;1;0;0;22;0;;;;0;;;;;;;;;;
PALIA;2013;710978255;710781568;1;2;2;0;;1;1;2;13;0;;;;;;;;;;
PALIA;2013;710978263;710780958;1;6;0;0;83;0;;;;1;11182;16;;839;0;259;580;426;;
PALIA;2013;710978289;710780263;0;;;;;1;1;10;151;1;1914;8;9;1328;314;255;759;519;38;104
PALIA;2013;710978313;710976705;1;6;;;110;0;;;;1;160;15;5;134;8;54;66;149;28;14
PALIA;2013;720000033;720000025;1;13;;;249;0;;;;1;2696;1;;;;;;611;111;15
PALIA;2013;720000124;720000066;1;3;3;;48;0;;;;0;;;;;;;;;;
PALIA;2013;720000249;720000645;1;14;0;0;299;0;;;;0;;;;;;;;;;
PALIA;2013;720000389;720012749;1;8;5;;193;0;;;;0;;;;;;;;;;
PALIA;2013;720000470;610780082;1;8;0;0;178;0;;;;0;;;;;;;;;;
PALIA;2013;720000520;720000140;1;3;0;0;23;0;;;;0;;;;;;;;;;
PALIA;2013;720001437;720006022;1;2;0;0;49;0;;;;0;;;;;;;;;;
PALIA;2013;720016179;720016724;1;2;0;0;35;0;;;;1;265;0;0;8;0;8;0;170;0;0
PALIA;2013;720016823;720012749;1;12;12;;133;0;;;;1;4;56;17;856;13;24;819;277;21;607
PALIA;2013;720016856;720008390;1;10;;;265;0;;;;0;;;;;;;;;;
PALIA;2013;720017748;720000561;1;3;0;0;43;0;;;;1;780;;;;;;;280;;
PALIA;2013;730000031;730000015;1;4;0;0;;1;1;11;118;1;1976;7;0;8;;8;0;483;12;6
PALIA;2013;730000049;730002839;1;2;0;0;16;0;;;;1;151;;;;;;;54;50;0
PALIA;2013;730000080;730780103;1;3;0;0;53;0;;;;1;1489;5;1;152;0;62;90;162;4;2
PALIA;2013;730000098;730780111;1;8;4;0;173;0;;;;0;;;;;;;;;;
PALIA;2013;730000262;730002839;1;1;0;0;17;0;;;;1;355;;;;;;;94;51;
PALIA;2013;730004298;730010048;1;10;;;81;0;;;;0;;;;;;;;;;
PALIA;2013;730780475;690029723;1;10;10;0;121;0;;;;0;;;;;;;;;;
PALIA;2013;740000237;740781133;1;5;;;90;0;;;;1;2730;3;0;16;3;9;4;384;978;6
PALIA;2013;740000302;740781216;0;;;;;0;;;;1;2209;8;1;720;131;473;116;330;104;22
PALIA;2013;740000328;740790381;1;4;0;0;;0;;;;1;2995;9;0;27;3;16;8;237;84;4
PALIA;2013;740014345;740000617;1;4;0;0;;0;;;;0;;;;;;;;;;
PALIA;2013;740780143;750005068;1;3;3;;49;0;;;;0;;;;;;;;;;
PALIA;2013;740780192;740780168;1;30;0;0;85;0;;;;1;454;3;7;1874;;;;299;42;0
PALIA;2013;740780424;740000120;1;3;0;0;111;0;;;;0;;;;;;;;;;
PALIA;2013;740780952;740000179;1;6;6;0;98;0;;;;0;;;;;;;;;;
PALIA;2013;740781141;740790258;1;6;;;109;0;;;;1;4924;3;;10;;7;3;254;295;8
PALIA;2013;740781224;740001839;0;;;;;0;;;;1;1875;2;2;454;318;45;0;311;80;38
PALIA;2013;750041543;750712184;0;;;;;1;3;9;145;1;55;;;;;;;;;
PALIA;2013;750100018;750712184;1;2;;;83;0;;;;0;;;;;;;;;;
PALIA;2013;750100042;750712184;1;4;;;;0;;;;1;1097;;;;;;;460;43;55
PALIA;2013;750100075;750712184;1;15;;;351;0;;;;1;1491;0;0;0;;;;270;16;3
PALIA;2013;750100091;750712184;1;14;0;0;223;0;;;;1;2358;0;0;0;0;0;0;517;38;25
PALIA;2013;750100109;750712184;1;4;0;3;9;0;;;;0;;;;;;;;;;
PALIA;2013;750100125;750712184;1;20;;;443;0;;;;1;5237;;;4228;4218;;10;1127;60;40
PALIA;2013;750100166;750712184;1;8;;;108;0;;;;1;8386;;2;77;77;;;598;68;74
PALIA;2013;750100208;750712184;0;;;;;0;;;;1;2419;0;2;25;5;20;0;309;6;725
PALIA;2013;750100216;750712184;1;4;4;;44;0;;;;1;1205;;;;;;;193;34;
PALIA;2013;750100232;750712184;1;16;;;;0;;;;1;7000;0;0;;;;;;15;12
PALIA;2013;750100273;750712184;1;11;0;0;339;0;;;;1;2280;0;0;0;0;0;0;291;91;0
PALIA;2013;750100299;750712184;0;;;;;1;1;10;261;1;885;0;0;0;;;;186;25;50
PALIA;2013;750120016;750821092;1;6;;;115;0;;;0;0;;;;;;;;;;
PALIA;2013;750150187;750000143;0;;;;;1;1;81;1155;0;;;;;;;;;;
PALIA;2013;750150260;750006728;0;;;;;1;1;15;239;1;819;;;0;;;;;;
PALIA;2013;750150286;750015968;0;;;;;1;1;40;668;0;;;;;;;;;;
PALIA;2013;750150344;750720468;0;;;;;1;1;36;461;0;;;;;;;;;;
PALIA;2013;750160012;750813321;1;30;;;287;0;;;;1;1678;;;;;;;405;42;20
PALIA;2013;750300360;750026569;1;6;;;72;0;;;73;0;;;;;;;;;;
PALIA;2013;750801441;750712184;0;;;;;0;;;;1;669;;;;;;;721;200;63
PALIA;2013;750803447;750712184;1;6;;;;0;;;;1;3441;;;;;;;418;3588;
PALIA;2013;750808578;750813032;0;;;;;0;;;;1;45;;;;;;;15;0;0
PALIA;2013;760000018;760780023;1;11;4;0;27;0;;;;1;1973;6;0;9;0;9;0;249;3;0
PALIA;2013;760000042;760780056;1;1;0;0;33;0;;;;0;;;;;;;;;;
PALIA;2013;760000141;760780239;1;1;;;11;0;;;;0;;;;;;;;;;
PALIA;2013;760000158;760780239;1;9;;;235;1;1;10;182;1;2907;32;7;73;23;50;;710;;
PALIA;2013;760000166;760780247;1;7;;;;0;;;;1;1905;;;;;;;508;52;14
PALIA;2013;760000364;760780734;1;3;2;0;;0;;;;0;;;;;;;;;;
PALIA;2013;760000372;760780742;1;1;0;0;51;0;;;;0;;;;;;;;;;
PALIA;2013;760000463;760024042;1;12;4;0;;0;;;;1;5878;31;7;72;0;72;0;802;0;0
PALIA;2013;760021329;760000448;1;6;;;197;0;;;;0;;;;;;;;;;
PALIA;2013;760027292;760027300;1;1;0;0;2;0;;;;0;;;;;;;;;;
PALIA;2013;760780510;760000257;1;4;;;62;0;;;;0;;;;;;;;;;
PALIA;2013;760780791;760000414;1;8;0;0;157;0;;;100;0;;;;;;;;;;
PALIA;2013;760783522;760780239;1;9;5;;104;0;;;;0;;;;;;;;;;
PALIA;2013;760783530;760780239;1;3;3;;;0;;;;0;;;;;;;;;;
PALIA;2013;760805770;760780726;1;8;0;0;105;0;;;;1;2123;15;5;25;17;8;0;347;133;23
PALIA;2013;760921809;760000273;1;2;0;0;;0;;;;0;;;;;;;;;;
PALIA;2013;770000131;770110013;1;8;4;;52;0;;;;1;796;;;;;;;126;85;
PALIA;2013;770000149;770110021;1;16;6;;316;0;;;;1;2482;3;0;193;0;193;0;157;27;42
PALIA;2013;770000156;770110054;1;5;0;0;;0;;;;1;1586;1;0;0;;;;;67;0
PALIA;2013;770000164;770110062;1;5;0;0;24;0;;;;0;;;;;;;;;;
PALIA;2013;770000172;770110070;1;3;3;;26;0;;;;1;492;1;1;28;1;27;0;133;2;0
PALIA;2013;770000446;770700185;1;10;0;0;84;0;;;;1;2359;0;0;0;0;0;0;266;45;0
PALIA;2013;770019032;770170017;1;15;0;0;47;0;;;;1;3015;0;1;2;1;0;1;650;29;23
PALIA;2013;770300143;770000362;0;;;;;1;1;7;194;0;;;;;;;;;;
PALIA;2013;770813400;770001014;1;6;;;;0;;;;0;;;;;;;;;;
PALIA;2013;780000287;780110011;1;6;0;0;;0;;;;1;1788;;;;;;0;384;0;0
PALIA;2013;780000295;780002697;0;;;;;0;;;;1;1329;;;3;;;3;170;85;
PALIA;2013;780000303;780110037;1;4;4;0;62;0;;;;1;2157;0;0;0;0;0;0;222;23;0
PALIA;2013;780000311;780001236;1;4;0;0;118;0;;;;1;4803;0;0;0;;;;389;40;0
PALIA;2013;780000329;780110052;1;3;0;0;82;0;;;;1;3348;2;2;137;32;125;0;434;92;21
PALIA;2013;780000337;780001236;1;4;0;0;164;0;;;;1;5288;0;0;0;;;;362;40;0
PALIA;2013;780000352;780110094;0;;;;;0;;;;1;490;;;;;;;82;108;
PALIA;2013;780000378;780130027;0;;;;;1;1;5;121;1;361;4;1;1;;1;;291;30;
PALIA;2013;780140018;750005068;0;;;;;1;1;10;147;0;;;;;;;;;;
PALIA;2013;780150033;780020715;0;;;;;1;1;16;257;0;;;;;;;;;;
PALIA;2013;780300414;780000675;1;6;0;0;;0;;;;0;;;;;;;;;;
PALIA;2013;780800256;780110078;1;16;0;0;192;0;;;;1;1571;0;0;0;;;;479;67;17
PALIA;2013;790000087;790000012;1;10;0;0;338;0;;;;1;7898;3;5;744;666;15;63;496;169;7
PALIA;2013;790000103;790006654;1;12;0;0;154;0;;;;1;812;31;5;213;0;77;136;276;294;51
PALIA;2013;790000111;790000046;1;5;5;;54;0;;;;1;1247;1;1;113;41;16;0;102;14;
PALIA;2013;790000137;790000061;1;4;4;0;52;0;;;;1;589;1;1;67;39;8;20;67;;
PALIA;2013;790009948;790001242;1;4;0;0;14;0;;;;0;;;;;;;;;;
PALIA;2013;800000143;800000028;1;10;1;0;101;0;;;;1;5176;10;4;93;44;16;33;222;33;319
PALIA;2013;800000184;800000036;1;5;3;0;51;0;;;;0;;;;;;;;;;
PALIA;2013;800000192;800000044;1;9;0;2;123;0;;;;1;12258;1;7;27;27;0;0;438;145;32
PALIA;2013;800000200;800000051;1;6;4;0;25;0;;;;0;;;;;;;;;;
PALIA;2013;800000226;800000069;1;4;2;0;97;0;;;;1;761;1;1;6;0;6;0;;6;6
PALIA;2013;800000390;800000085;1;5;;;95;0;;;;0;;;;;;;;;;
PALIA;2013;800000432;800000093;1;5;3;;871;0;;;;0;;;;;;;;;;
PALIA;2013;800000440;800000085;1;5;5;;;0;;;;0;;;;;;;;;;
PALIA;2013;800000507;800000135;1;8;;;344;0;;;;0;;;;;;;;;;
PALIA;2013;800000614;800000044;0;;;;;1;1;10;157;0;;;;;;;;;;
PALIA;2013;800002610;800000044;1;1;0;0;31;0;;;;0;;;;;;;;;;
PALIA;2013;800006124;800000044;1;8;0;0;216;0;;;;0;;;;;;;;;;
PALIA;2013;800009920;800003071;1;3;0;0;62;0;;;;0;;;;;;;;;;
PALIA;2013;800013179;800013138;1;4;;;137;0;;;;0;;;;;;;;;;
PALIA;2013;810000224;810000471;1;12;0;0;285;0;;;285;1;302;0;0;0;0;0;0;253;110;0
PALIA;2013;810000448;810099945;1;5;5;;72;0;;;;0;;;;;;;;;;
PALIA;2013;810000505;810000331;1;8;4;;98;0;;;;1;1002;;;0;;;;221;14;
PALIA;2013;810000513;810000349;1;2;0;0;44;0;;;0;0;;;;;;;;;;
PALIA;2013;810000521;810000380;1;8;0;0;366;0;;;;1;998;0;0;55;12;43;0;228;76;2
PALIA;2013;810000539;810000398;1;2;;;72;0;;;;0;;;;;;;;;;
PALIA;2013;810000562;810000455;1;1;0;0;59;0;;;;1;918;0;0;0;0;0;0;96;45;0
PALIA;2013;820000032;820000016;1;10;2;0;250;0;;;;1;2720;2;1;375;0;4;363;530;45;23
PALIA;2013;820000057;820000131;1;4;;;186;0;;;;0;;;;;;;;;;
PALIA;2013;820000198;820004950;1;4;4;0;33;0;;;;1;157;8;1;498;0;24;474;150;126;39
PALIA;2013;820000883;820004950;1;2;0;0;76;0;;;;0;;;;;;;;;;
PALIA;2013;830000287;830100525;1;4;0;0;72;0;;;;0;;;;;;;;;;
PALIA;2013;830000311;830100566;1;4;;;45;0;;;;1;1570;11;8;1555;1519;36;0;733;14;75
PALIA;2013;830000337;830100590;1;2;0;0;19;0;;;;0;;;;;;;;;;
PALIA;2013;830000345;830100616;1;5;;;382;0;;;;1;3669;;;;;;;655;71;47
PALIA;2013;830100251;830000063;1;3;;;;0;;;;0;;;;;;;;;;
PALIA;2013;830100574;750821092;1;7;;;205;0;;;;1;1400;;;;;;;344;170;49
PALIA;2013;830100608;830100616;1;4;;;;1;1;12;226;0;;;;;;;;;;
PALIA;2013;830212759;750721235;1;10;10;;70;0;;;;1;83;2;11;987;928;59;;285;49;49
PALIA;2013;830213880;830100566;1;4;4;;42;0;;;;0;;;;;;;;;;
PALIA;2013;840000343;840000012;1;2;;;36;1;3;1;65;1;448;3;1;70;50;20;;152;20;4
PALIA;2013;840000350;840000657;1;13;0;0;265;0;;;;1;5427;0;0;0;0;0;0;537;41;0
PALIA;2013;840000418;840004659;0;;;;;0;;;;1;444;;;;;;;;;
PALIA;2013;840000434;840000079;1;10;5;;91;0;;;;0;;;;;;;;;;
PALIA;2013;840000483;840000087;1;4;0;0;104;0;;;;0;;;;;;;;;;
PALIA;2013;840000525;840000111;1;6;0;0;83;0;;;;1;2074;17;7;1412;1196;169;47;359;0;56
PALIA;2013;840001861;840006597;1;6;0;0;58;1;1;10;182;1;4382;;;;;;;735;;
PALIA;2013;850000118;850013244;1;4;;;36;0;;;;0;;;;;;;;;;
PALIA;2013;850000126;850022948;0;;;;;0;;;;1;18;;;;;;;;168;
PALIA;2013;850000142;850000019;1;19;15;;;0;;;;1;1509;53;;352;;129;223;760;177;188
PALIA;2013;850000191;850000043;1;2;1;;14;0;;;;0;;;;;;;;;;
PALIA;2013;850000241;850000084;1;4;4;;53;0;;;;0;;;;;;;;;;
PALIA;2013;850000399;750005068;1;13;13;;141;0;;;;0;;;;;;;;;;
PALIA;2013;850000647;850011453;1;5;5;0;78;0;;;;1;43;29;3;597;257;153;187;227;42;452
PALIA;2013;850006008;850005968;0;;;;;0;;;;1;0;0;0;1512;0;0;1512;277;0;0
PALIA;2013;860000025;860780063;1;6;;;35;0;;;;1;2085;;;;;;;273;56;38
PALIA;2013;860000033;860780071;1;5;;;32;0;;;;1;2789;1;0;0;;;;157;0;0
PALIA;2013;860000058;860780097;1;2;;;12;0;;;;1;285;0;;;;;;106;;
PALIA;2013;860000223;860013077;1;17;0;0;389;1;1;10;188;1;7543;0;0;0;0;0;0;768;313;0
PALIA;2013;860010321;860010313;1;9;;;76;0;;;;0;;;;;;;;;;
PALIA;2013;870000064;870000015;1;27;7;0;287;1;1;10;359;1;7674;24;12;1634;;;;1054;132;55
PALIA;2013;870000098;870000023;1;10;5;;;0;;;;0;;;;;;;;;;
PALIA;2013;870000270;870000031;1;6;2;0;113;0;;;;0;;;;;;;;;;
PALIA;2013;870000601;870014248;1;5;0;0;60;0;;;;0;;;;;;;;;;
PALIA;2013;870001567;870014503;1;5;3;0;0;0;;;;1;3106;4;0;47;;;;133;;
PALIA;2013;870014859;870000015;1;2;;2;1;0;;;;1;2;;;0;;;;2;7;
PALIA;2013;880000021;880007059;1;2;0;0;111;0;;;;0;;;;;;;;;;
PALIA;2013;880000039;880780069;1;4;4;0;28;0;;;;1;987;14;14;421;79;334;8;177;30;6
PALIA;2013;880000047;880780077;1;6;2;0;182;0;;;;1;1258;5;2;1006;;;;235;69;63
PALIA;2013;880000054;880007299;1;4;0;0;41;0;;;;1;1060;5;5;235;125;110;0;318;4;17
PALIA;2013;880000062;880780093;1;4;0;0;46;0;;;;0;;;;;;;;;;
PALIA;2013;880000070;880007299;1;2;0;0;19;0;;;;0;;;;;;;;;;
PALIA;2013;880000146;880780291;1;2;2;;25;0;;;;0;;;;;;;;;;
PALIA;2013;880000336;880007059;1;10;10;0;178;0;;;;1;10001;22;5;1687;1446;241;13;659;89;93
PALIA;2013;890000169;890000151;1;2;0;0;23;0;;;;0;;;;;;;;;;
PALIA;2013;890975527;890000037;1;10;;;89;0;;;;1;2922;0;0;108;0;0;0;282;61;22
PALIA;2013;890975535;890000409;1;5;5;;48;0;;;;0;;;;;;;;;;
PALIA;2013;890975543;890000417;1;3;;;37;0;;;;1;898;9;1;48;0;29;19;125;;14
PALIA;2013;890975550;890970569;1;6;0;0;78;0;;;;1;2500;0;0;0;0;0;0;379;134;60
PALIA;2013;890975568;890000433;1;6;0;0;109;0;;;;1;1541;;;258;0;130;128;153;38;6
PALIA;2013;900000167;900000365;1;6;;;165;0;;;;0;;;;;;;;;;
PALIA;2013;900003070;900000365;1;2;2;;37;0;;;;0;;;;;;;;;;
PALIA;2013;910000272;910110014;0;;;;;1;1;7;105;1;260;1;;80;22;58;;140;57;24
PALIA;2013;910000298;910110055;1;8;0;0;63;0;;;;1;7000;1;1;36;0;36;0;233;10;10
PALIA;2013;910001973;910019447;1;4;2;;;0;;;;0;;;;;;;;;;
PALIA;2013;910018423;910019454;0;;;;;1;1;12;222;0;;;;;;;;;;
PALIA;2013;910020254;910002773;1;3;0;0;34;0;;;;1;1549;1;0;0;0;0;0;542;1979;100
PALIA;2013;910100015;750712184;0;;;;;1;1;10;187;1;519;;;;;;;163;682;0
PALIA;2013;910100023;750712184;0;;;;;1;1;11;131;1;1666;;;;;;;244;2138;744
PALIA;2013;910150028;750811184;1;18;8;10;384;1;1;8;239;1;884;0;0;0;;;;;96;49
PALIA;2013;910150069;910000033;1;8;;;237;0;;;;1;541;2;;2;;;;45;30;0
PALIA;2013;910300144;910000447;1;8;0;0;145;0;;;;0;;;;;;;;;;
PALIA;2013;910300326;910000553;1;5;0;0;52;0;;;;0;;;;;;;;;;
PALIA;2013;910803543;910017615;1;;;;;0;;;;0;;;;;;;;;;
PALIA;2013;920000460;750813321;1;15;;;109;0;;;;1;782;;;;;;;261;10;2
PALIA;2013;920000577;920110020;1;8;0;0;98;0;;;;1;1252;1;0;15;0;15;0;144;21;14
PALIA;2013;920000593;920026374;0;;;;;1;1;12;248;0;;;;;;;;;;
PALIA;2013;920000643;920150034;1;5;;;189;0;;;;1;;;;;;;;;;
PALIA;2013;920000650;920150059;1;6;;;34;0;;;;1;3000;;;0;;;;574;8;80
PALIA;2013;920100013;750712184;1;6;;;;0;;;;1;2889;;;0;;;;;;
PALIA;2013;920100021;750712184;1;7;0;0;116;0;;;;1;1217;;;;;;;350;33;18
PALIA;2013;920100039;750712184;1;;;;;0;;;;1;;;;;;;;;;
PALIA;2013;920100047;750712184;1;6;;;88;0;;;;1;2619;;;274;;;;;11;75
PALIA;2013;920100062;750712184;0;;;;;0;;;;1;1825;;;;;;;;;
PALIA;2013;920120011;750821092;1;8;0;0;54;0;;;;1;279;0;0;0;;;;93;;
PALIA;2013;920300043;920001526;1;8;0;0;179;0;;;;0;;;;;;;;;;
PALIA;2013;920300266;920000940;1;4;0;0;127;0;;;;1;103;;;0;;;;103;69;0
PALIA;2013;920300415;920000890;1;9;0;0;;0;;;;0;;;;;;;;;;
PALIA;2013;920300597;920000940;1;4;0;0;95;0;;;;1;89;0;0;0;;;;89;45;0
PALIA;2013;920300845;780020715;0;;;;;1;1;32;499;1;4;22;8;726;98;74;220;241;28;165
PALIA;2013;920803798;920002037;1;10;0;0;52;0;;;52;0;;;;;;;;;;
PALIA;2013;930000286;930021480;1;8;0;0;124;1;1;14;229;1;5743;0;0;20;0;0;20;678;43;54
PALIA;2013;930000328;930110051;1;6;;;1660;1;;;0;1;3009;6;3;20;14;;;266;78;16
PALIA;2013;930000336;930110069;1;5;;;2911;1;1;5;2911;1;2150;;;;;;;96;;
PALIA;2013;930100011;750712184;0;;;;;1;1;15;231;1;203;;;;;;;;;
PALIA;2013;930100037;750712184;1;4;;;77;0;;;;1;1676;;;;;;;;;
PALIA;2013;930100045;750712184;1;3;;;25;0;;;;1;962;;;;;;;;;
PALIA;2013;930300025;930000393;1;8;;;;0;;;;0;;;;;;;;;;
PALIA;2013;930300553;930000633;1;6;;;78;0;;;;0;;;;;;;;;;
PALIA;2013;930300595;930000658;1;6;;;53;0;;;;0;;;;;;;;;;
PALIA;2013;930706239;930110051;0;;;;;1;1;10;200;1;3009;6;3;20;14;;;266;78;16
PALIA;2013;940000573;940110018;1;5;0;0;111;0;;;;1;2722;0;0;0;0;0;0;457;30;10
PALIA;2013;940000599;940110042;1;8;0;0;;0;;;;1;2469;1;1;12;;;;300;46;6
PALIA;2013;940000649;940150014;1;6;0;0;63;0;;;;1;2710;0;1;101;101;0;0;206;18;13
PALIA;2013;940000656;940150022;1;10;;;37;0;;;;0;;;;;;;;;;
PALIA;2013;940000664;940160013;1;30;;;160;0;;;724;1;5628;0;0;0;;;;;47;
PALIA;2013;940100027;750712184;1;8;;;;1;1;10;166;1;2449;1;1;0;;;;736;23;60
PALIA;2013;940100035;750712184;0;;;;;1;1;8;178;1;1040;0;0;0;0;0;0;280;69;61
PALIA;2013;940100043;750712184;1;7;;;91;0;;;;1;1254;;;;;0;0;160;;
PALIA;2013;940100050;750712184;1;4;4;0;65;0;;;;1;1279;;;;;;;377;1532;60
PALIA;2013;940100068;750712184;1;4;0;;52;1;1;22;432;0;;;;;;;;;;
PALIA;2013;940120017;750821092;1;6;;;65;0;;;;1;21;;;0;;;;21;1;
PALIA;2013;940300494;940000896;1;4;;;12;0;;;11;0;;;;;;;;;;
PALIA;2013;950000307;950110015;1;16;;;238;1;1;9;223;1;1817;16;;;;;;504;61;31
PALIA;2013;950000315;950001370;1;6;4;0;15;0;;;;0;;;;;;;;;;
PALIA;2013;950000323;950013870;1;18;6;;;0;;;;1;1300;13;0;25;0;10;15;512;85162;
PALIA;2013;950000331;950110049;1;10;0;0;57;0;;;;1;1868;0;0;111;0;0;111;349;50;62
PALIA;2013;950000349;950015289;1;5;;;102;0;;;;1;99;2;3;86;53;16;17;131;118;84
PALIA;2013;950000364;950110080;1;10;0;1;101;1;1;10;351;1;1109;2;3;75;10;65;0;416;24;15
PALIA;2013;950000406;950150037;1;1;1;0;11;0;;;;0;;;;;;;;;;
PALIA;2013;950000695;950500033;1;10;10;0;56;0;;;;0;;;;;;;;;;
PALIA;2013;950016139;950015289;1;5;0;0;102;0;;;;1;99;2;3;86;53;16;17;131;118;84
PALIA;2013;950100016;750712184;0;;;;;1;1;10;187;1;859;;;0;;;;77;;
PALIA;2013;950300244;950000539;1;12;0;0;256;0;;;;0;;;;;;;;;;
PALIA;2013;950300277;950000547;1;8;0;0;59;0;;;55;0;;;;;;;;;;
PALIA;2013;950300301;950000562;1;8;0;0;190;0;;;;0;;;;;;;;;;
PALIA;2013;970100020;970100152;1;10;10;;222;0;;;;0;;;;;;;;;;
PALIA;2013;970100392;970100178;0;;;;;0;;;;1;1458;0;0;19;0;0;19;269;46;63
PALIA;2013;970100442;970100228;0;;;;;0;;;;1;689;;;;;;;340;;
PALIA;2013;970200044;970202164;1;4;1;;84;0;;;;1;199;6;5;66;48;18;;116;67;48
PALIA;2013;970211215;970211207;1;4;;;0;0;;;;0;;;;;;;;;;
PALIA;2013;970211231;970211207;1;2;;;71;0;;;;0;;;;;;;;;;
PALIA;2013;970211249;970211207;1;4;;;;1;1;11;298;1;1864;;;;;;;383;399;65
PALIA;2013;970300026;970302022;1;9;0;0;74;0;;;;1;2707;1;1;137;0;33;73;215;146;45
PALIA;2013;970400024;970408589;1;2;;;44;0;;;;1;1172;4;6;32;8;18;6;1075;37;18
PALIA;2013;970400057;970408589;1;2;0;0;79;0;;;;1;1296;5;3;26;5;17;4;285;89;76
PALIA;2013;970400065;970421038;0;;;;;0;;;;1;820;3;12;318;;;55;288;483;600
