BOR;AN;FI;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2013;420789968;420001752;121CE;;;;2;2;;;74;;
DIALYSE;2013;420789968;420001752;122AX;;;;1;1;;;356;;
DIALYSE;2013;420789968;420001752;TOT;0;;;;;;0;;29;13
DIALYSE;2013;430000117;430000018;112BA;;;;16;53;8763;;;;
DIALYSE;2013;430003475;420001752;1140X;;;;10;22;3332;;;;
DIALYSE;2013;430003475;420001752;TOT;0;;;;;;1;;0;0
DIALYSE;2013;430004309;630000990;112AX;;;;;0;91;;;;
DIALYSE;2013;430004309;630000990;1140X;;;;5;15;2313;;;;
DIALYSE;2013;430004309;630000990;TOT;0;;;;;;;;2;0
DIALYSE;2013;430004358;630000990;112AX;;;;1;1;98;;;;
DIALYSE;2013;430004358;630000990;1130X;;;;4;15;1806;;;;
DIALYSE;2013;430004358;630000990;1140X;;;;4;;587;;;;
DIALYSE;2013;430004358;630000990;121AA;;;;;10;;;504;;
