BOR;AN;FI;FI_EJ;EQUIPIMA;NB;NBEXP;ACTET;ACTEXET;ACTEXEJ;ACTEX;ACTNUI;ACTINT
IMAGES;2013;120004569;120004528;RADIO;2;2;5673;;;15313;104;1
IMAGES;2013;120004569;120004528;SCAN;1;1;2411;;;6873;20;1
IMAGES;2013;120004668;120004619;MAMM;1;1;;;;1066;;
IMAGES;2013;120004668;120004619;RADIO;2;2;5533;;;3688;;0
IMAGES;2013;120004668;120004619;SCAN;1;1;638;;;2103;;0
IMAGES;2013;130000409;130041916;CAM;2;2;1152;;;3494;3;0
IMAGES;2013;130000409;130041916;IRM;1;1;2857;;;1723;8;0
IMAGES;2013;130000409;130041916;LITHO;1;1;;;;;;1
IMAGES;2013;130000409;130041916;MAMM;1;1;;;;543;;
IMAGES;2013;130000409;130041916;RADIO;3;3;30945;;;28500;1297;1
IMAGES;2013;130000409;130041916;SCAN;2;2;28551;;;7004;448;1
IMAGES;2013;130000409;130041916;VASC;2;2;;;;;;
IMAGES;2013;130000433;130781131;RADIO;1;1;370;;;;0;0
IMAGES;2013;130000516;130781339;RADIO;2;2;2078;222;0;1962;0;0
IMAGES;2013;130000565;130781446;RADIO;3;3;4479;;;25121;429;0
IMAGES;2013;130000565;130781446;SCAN;1;1;1975;;;9985;34;0
IMAGES;2013;130001225;130782634;RADIO;3;3;22436;;;21414;388;1
IMAGES;2013;130001225;130782634;SCAN;1;1;5986;;;19796;54;1
IMAGES;2013;130001258;130028228;RADIO;1;1;823;453;;;20;
IMAGES;2013;130001647;130784127;CAM;2;2;593;;;2174;;
IMAGES;2013;130001647;130784127;IRM;1;1;341;;;5546;;0
IMAGES;2013;130001647;130784127;MAMM;1;1;;;;;;
IMAGES;2013;130001647;130784127;RADIO;1;1;5399;;;1435;;
IMAGES;2013;130001647;130784127;SCAN;2;2;4288;;;9237;182;1
IMAGES;2013;130001647;130784127;TOMO;1;1;125;;;3105;;
IMAGES;2013;130001647;130784127;VASC;1;1;128;;;;;
IMAGES;2013;130002215;130785512;RADIO;2;2;4435;;;12983;232;1
IMAGES;2013;130002215;130785512;SCAN;1;1;2612;;;9157;22;1
IMAGES;2013;130002827;130789274;IRM;1;1;230;;;1732;;0
IMAGES;2013;130002827;130789274;RADIO;4;4;10034;;;16153;355;0
IMAGES;2013;130002827;130789274;SCAN;1;1;3693;;;11840;57;0
IMAGES;2013;130002835;130789316;IRM;1;1;347;68;0;6746;0;0
IMAGES;2013;130002835;130789316;LITHO;1;1;11;0;0;0;0;1
IMAGES;2013;130002835;130789316;MAMM;1;1;;;;1409;;
IMAGES;2013;130002835;130789316;RADIO;3;3;9318;184;0;12380;394;0
IMAGES;2013;130002835;130789316;SCAN;1;1;4526;163;0;7953;86;0
IMAGES;2013;130037922;130037823;CAM;2;2;339;;8059;;;0
IMAGES;2013;130037922;130037823;IRM;1;1;406;;30276;;;0
IMAGES;2013;130037922;130037823;LITHO;1;1;625;;;;;
IMAGES;2013;130037922;130037823;RADIO;3;3;8144;;22011;;1174;1
IMAGES;2013;130037922;130037823;SCAN;1;1;3287;;28778;;42;1
IMAGES;2013;130042096;130042062;IRM;;;;;;;1;
IMAGES;2013;130042096;130042062;RADIO;1;1;1092;;;;1;
IMAGES;2013;130042096;130042062;SCAN;1;1;466;;;;;
IMAGES;2013;130042096;130042062;VASC;1;1;2808;;;;5;
IMAGES;2013;130042526;310021399;RADIO;1;1;493;;;;;
IMAGES;2013;130043664;130002157;IRM;2;;;;;;;
IMAGES;2013;130043664;130002157;MAMM;2;;;;;;;
IMAGES;2013;130043664;130002157;RADIO;4;;;;;;;
IMAGES;2013;130043664;130002157;SCAN;2;;;;;;;
IMAGES;2013;130043664;130002157;VASC;1;;;;;;;
IMAGES;2013;130780075;310021332;RADIO;1;1;1227;;;;;
IMAGES;2013;130780521;130786049;CAM;2;2;891;;;4509;;0
IMAGES;2013;130780521;130786049;IRM;1;1;4044;;;10855;109;0
IMAGES;2013;130780521;130786049;RADIO;9;9;48044;;;35345;1276;1
IMAGES;2013;130780521;130786049;SCAN;2;2;35446;;;24435;331;1
IMAGES;2013;130780521;130786049;TOMO;1;1;275;;;2847;;0
IMAGES;2013;130780521;130786049;VASC;1;1;2235;;;828;5;1
IMAGES;2013;130781438;130000557;RADIO;1;1;932;0;0;0;0;0
IMAGES;2013;130781479;130000599;CAM;2;2;253;0;426;3752;0;0
IMAGES;2013;130781479;130000599;IRM;1;1;535;;40;24429;0;0
IMAGES;2013;130781479;130000599;MAMM;1;1;;;;5184;;
IMAGES;2013;130781479;130000599;RADIO;5;4;10481;;;16576;371;1
IMAGES;2013;130781479;130000599;SCAN;1;1;5063;;562;32406;1;1
IMAGES;2013;130781479;130000599;TOMO;1;1;21;0;58;568;0;0
IMAGES;2013;130781479;130000599;VASC;3;3;2278;;;;20;1
IMAGES;2013;130782071;130002454;IRM;1;;;;;;;
IMAGES;2013;130782071;130002454;MAMM;1;;;;;;;
IMAGES;2013;130782071;130002454;RADIO;3;;;;;;;
IMAGES;2013;130782071;130002454;SCAN;1;;;;;;;
IMAGES;2013;130782147;130000979;IRM;1;;;;;;;
IMAGES;2013;130782147;130000979;MAMM;1;;;;;;;
IMAGES;2013;130782147;130000979;RADIO;3;;;;;;;
IMAGES;2013;130782147;130000979;SCAN;1;;;;;;;
IMAGES;2013;130782147;130000979;VASC;1;;;;;;;
IMAGES;2013;130782162;130000987;LITHO;1;1;233;;;;;
IMAGES;2013;130782162;130000987;MAMM;1;1;;;;1333;;
IMAGES;2013;130782162;130000987;RADIO;2;2;880;;;19459;;
IMAGES;2013;130783236;130786049;IRM;1;1;2888;;;10541;85;0
IMAGES;2013;130783236;130786049;RADIO;6;6;36114;;;38789;1073;1
IMAGES;2013;130783236;130786049;SCAN;1;1;22877;;;20106;245;1
IMAGES;2013;130783293;130786049;CAM;4;4;7423;;;2511;180;0
IMAGES;2013;130783293;130786049;IRM;3;3;17601;;;24583;235;0
IMAGES;2013;130783293;130786049;MAMM;1;1;;;;;;
IMAGES;2013;130783293;130786049;RADIO;13;13;47300;;;12447;1930;1
IMAGES;2013;130783293;130786049;SCAN;3;3;40454;;;57764;522;1
IMAGES;2013;130783293;130786049;TOMO;1;1;1286;;;2361;71;0
IMAGES;2013;130783293;130786049;VASC;3;3;6518;;;1478;45;1
IMAGES;2013;130783293;130786049;dtIRM2;1;1;3817;;;6194;;0
IMAGES;2013;130783327;130001415;MAMM;1;;;;;;;
IMAGES;2013;130783327;130001415;RADIO;1;;;;;;;1
IMAGES;2013;130783327;130001415;SCAN;1;1;876;;;;9;1
IMAGES;2013;130783327;130001415;VASC;1;;;;;;;1
IMAGES;2013;130783665;130043722;MAMM;1;1;;;;;;
IMAGES;2013;130783665;130043722;RADIO;5;5;977;;;;;0
IMAGES;2013;130783723;130001456;RADIO;2;2;6411;;;16999;0;
IMAGES;2013;130784051;130037823;CAM;2;2;808;;9254;;0;0
IMAGES;2013;130784051;130037823;IRM;2;2;5934;;23656;;86;1
IMAGES;2013;130784051;130037823;MAMM;1;1;;;;;;
IMAGES;2013;130784051;130037823;RADIO;3;3;24108;;14717;;178;1
IMAGES;2013;130784051;130037823;SCAN;1;1;12647;;16923;;6;1
IMAGES;2013;130784051;130037823;TOMO;1;1;251;;3243;;0;0
IMAGES;2013;130784051;130037823;VASC;2;2;4736;;501;;1;1
IMAGES;2013;130784234;130786049;IRM;2;2;3162;;;13868;106;0
IMAGES;2013;130784234;130786049;RADIO;5;5;10537;;;8309;18;1
IMAGES;2013;130784234;130786049;SCAN;1;1;6474;;;12857;36;1
IMAGES;2013;130784598;130001852;RADIO;1;1;1987;;;;;0
IMAGES;2013;130784713;130038847;MAMM;1;1;;;;5515;;
IMAGES;2013;130784713;130038847;RADIO;2;2;13231;;;6900;;
IMAGES;2013;130784713;130038847;SCAN;1;1;4568;;;15504;;
IMAGES;2013;130784713;130038847;VASC;2;2;894;;;;;
IMAGES;2013;130784903;130002041;RADIO;1;1;1102;;;;;
IMAGES;2013;130785355;130002157;IRM;1;;;;;;;
IMAGES;2013;130785355;130002157;LITHO;1;;;;;;;
IMAGES;2013;130785355;130002157;MAMM;2;;;;;;;
IMAGES;2013;130785355;130002157;RADIO;2;;;;;;;
IMAGES;2013;130785355;130002157;SCAN;1;;;;;;;
IMAGES;2013;130785355;130002157;VASC;1;;;;;;;
IMAGES;2013;130785363;130042930;MAMM;1;;;;;;;
IMAGES;2013;130785363;130042930;RADIO;2;;;;;;;
IMAGES;2013;130785363;130042930;VASC;1;;;;;;;
IMAGES;2013;130785652;130014228;IRM;2;2;5804;;;21449;;0
