BOR;AN;FI;FI_EJ;GDE;AUT;LIT;PLA;APEC;SEJHC;JOUHC;SEJHP;JOUHP
SSR;2013;040000069;040780181;SSR_A50;1;11;;0;105;3245;;
SSR;2013;040000069;040780181;SSR_A51;1;32;;;316;9735;;
SSR;2013;040000069;040780181;SSR_TOT;0;43;;0;421;12980;;
SSR;2013;040000077;040780199;SSR_A;;2;;;52;789;;
SSR;2013;040000077;040780199;SSR_A50;1;2;;0;52;789;;
SSR;2013;040000077;040780199;SSR_TOT;0;2;;0;52;789;;
SSR;2013;040000085;040780207;SSR_A;;10;;;101;2915;;
SSR;2013;040000085;040780207;SSR_A50;1;10;;0;101;2915;;
SSR;2013;040000085;040780207;SSR_TOT;0;10;;0;101;2915;;
SSR;2013;040000119;040780231;SSR_A;;15;;;223;4697;;
SSR;2013;040000119;040780231;SSR_A50;1;15;;0;223;4697;;
SSR;2013;040000119;040780231;SSR_TOT;0;15;;0;223;4697;;
SSR;2013;040000135;050002948;SSR_A;;27;10;;291;8836;1042;1042
SSR;2013;040000135;050002948;SSR_A50;1;27;;0;291;8836;;
SSR;2013;040000135;050002948;SSR_A53;1;;10;0;;;1042;1042
SSR;2013;040000135;050002948;SSR_TOT;0;27;10;0;291;8836;1042;1042
SSR;2013;040780389;040000150;SSR_A;;83;0;;878;28385;0;0
SSR;2013;040780389;040000150;SSR_A50;1;83;0;0;878;28385;0;0
SSR;2013;040780389;040000150;SSR_TOT;0;83;0;0;878;28385;0;0
SSR;2013;040780405;040000168;SSR_A;;70;5;;661;25381;109;1771
SSR;2013;040780405;040000168;SSR_A50;1;70;;0;661;25381;;
SSR;2013;040780405;040000168;SSR_A51;1;;5;;;;109;1771
SSR;2013;040780405;040000168;SSR_E;;;5;;;;11;42
SSR;2013;040780405;040000168;SSR_E51;1;;5;0;;;11;42
SSR;2013;040780405;040000168;SSR_TOT;0;70;10;0;661;25381;120;1813
SSR;2013;040780488;040000200;SSR_A;;80;;;640;27836;;
SSR;2013;040780488;040000200;SSR_A50;1;;;0;;;;
SSR;2013;040780488;040000200;SSR_A51;1;47;;;502;21066;;
SSR;2013;040780488;040000200;SSR_A52;1;33;;1;138;6770;;
SSR;2013;040780488;040000200;SSR_E;;;;;4;102;;
SSR;2013;040780488;040000200;SSR_E51;0;;;0;4;102;;
SSR;2013;040780488;040000200;SSR_TOT;0;80;;1;644;27938;;
SSR;2013;040780520;920000395;SSR_A;;40;;;422;14878;;
SSR;2013;040780520;920000395;SSR_A50;1;40;;0;422;14878;;
SSR;2013;040780520;920000395;SSR_TOT;0;40;;0;422;14878;;
SSR;2013;040782021;130037815;SSR_A;;60;;;608;20217;;
SSR;2013;040782021;130037815;SSR_A50;1;30;;0;583;17128;;
SSR;2013;040782021;130037815;SSR_A59;1;30;;0;25;3089;;
SSR;2013;040782021;130037815;SSR_TOT;0;60;;0;608;20217;;
SSR;2013;050000041;130037815;SSR_A;;120;15;;917;35406;378;6640
SSR;2013;050000041;130037815;SSR_A50;1;;;0;;;;
SSR;2013;050000041;130037815;SSR_A51;1;40;9;;464;15212;273;5338
SSR;2013;050000041;130037815;SSR_A52;1;42;5;0;183;10256;42;1021
SSR;2013;050000041;130037815;SSR_A53;1;4;;0;;;;
SSR;2013;050000041;130037815;SSR_A54;1;34;1;0;270;9938;63;281
SSR;2013;050000041;130037815;SSR_TOT;0;120;15;0;917;35406;378;6640
SSR;2013;050000058;050000033;SSR_A;;62;;;480;17868;;
SSR;2013;050000058;050000033;SSR_A50;1;62;;0;480;17868;;
SSR;2013;050000058;050000033;SSR_TOT;0;62;;0;480;17868;;
SSR;2013;050000066;050000082;SSR_A;;60;;;559;18992;;
SSR;2013;050000066;050000082;SSR_A50;1;60;;0;559;18992;;
SSR;2013;050000066;050000082;SSR_TOT;0;60;;0;559;18992;;
SSR;2013;050000256;050000124;SSR_A;;34;;;260;10803;;
SSR;2013;050000256;050000124;SSR_A50;1;20;;0;154;6276;;
SSR;2013;050000256;050000124;SSR_A59;1;14;;0;106;4527;;
SSR;2013;050000256;050000124;SSR_TOT;0;34;;0;260;10803;;
SSR;2013;050000298;050000496;SSR_E;;53;;;174;13443;;
SSR;2013;050000298;050000496;SSR_E50;1;;;0;;;;
SSR;2013;050000298;050000496;SSR_E54;1;53;;0;174;13443;;
SSR;2013;050000298;050000496;SSR_TOT;0;53;;0;174;13443;;
SSR;2013;050000306;050000538;SSR_E;;78;;;196;14099;;
SSR;2013;050000306;050000538;SSR_E54;1;78;;0;196;14099;;
SSR;2013;050000306;050000538;SSR_TOT;0;78;;0;196;14099;;
SSR;2013;050000330;050007145;SSR_A;;12;;;98;3075;;
SSR;2013;050000330;050007145;SSR_A50;1;12;;0;98;3075;;
SSR;2013;050000330;050007145;SSR_TOT;0;12;;0;98;3075;;
SSR;2013;050000371;050003508;SSR_E;;49;;;148;14129;;
SSR;2013;050000371;050003508;SSR_E54;1;49;;0;148;14129;;
SSR;2013;050000371;050003508;SSR_TOT;0;49;;0;148;14129;;
SSR;2013;050000462;050000660;SSR_A55;0;;;1;;;;
SSR;2013;050000462;050000660;SSR_E;;51;10;;426;7887;28;74
SSR;2013;050000462;050000660;SSR_E55;1;51;10;1;426;7887;28;74
SSR;2013;050000462;050000660;SSR_TOT;0;51;10;0;426;7887;28;74
SSR;2013;050000488;050000678;SSR_A;;77;;;682;25683;;
SSR;2013;050000488;050000678;SSR_A50;1;;;0;;;;
SSR;2013;050000488;050000678;SSR_A54;1;77;;0;682;25683;;
SSR;2013;050000488;050000678;SSR_TOT;0;77;;0;682;25683;;
SSR;2013;050000637;050001163;SSR_A;;64;;;522;21188;;
SSR;2013;050000637;050001163;SSR_A50;1;64;;0;522;21188;;
SSR;2013;050000637;050001163;SSR_TOT;0;64;;0;522;21188;;
SSR;2013;050000991;050000546;SSR_A;;181;4;;1450;54664;20;320
SSR;2013;050000991;050000546;SSR_A50;1;56;;0;422;17393;;
SSR;2013;050000991;050000546;SSR_A55;1;84;4;0;725;25666;20;320
SSR;2013;050000991;050000546;SSR_A58;1;16;;0;164;3916;;
SSR;2013;050000991;050000546;SSR_A59;1;25;;0;139;7689;;
SSR;2013;050000991;050000546;SSR_TOT;0;181;4;0;1450;54664;20;320
SSR;2013;050001064;050000561;SSR_A;;90;;;816;29437;;
SSR;2013;050001064;050000561;SSR_A50;1;90;;0;816;29437;;
SSR;2013;050001064;050000561;SSR_TOT;0;90;;0;816;29437;;
SSR;2013;050002351;130037815;SSR_A;;25;15;;273;7871;378;8879
SSR;2013;050002351;130037815;SSR_A50;1;;;0;;;;
SSR;2013;050002351;130037815;SSR_A51;1;20;7;;251;7069;255;6671
SSR;2013;050002351;130037815;SSR_A52;1;5;5;0;22;802;106;1958
SSR;2013;050002351;130037815;SSR_A53;1;0;3;0;;;17;250
SSR;2013;050002351;130037815;SSR_A54;1;0;;0;;;;
SSR;2013;050002351;130037815;SSR_TOT;0;25;15;0;273;7871;378;8879
SSR;2013;050006436;050002948;SSR_A;;17;0;;172;5994;0;0
SSR;2013;050006436;050002948;SSR_A59;1;17;0;0;172;5994;0;0
SSR;2013;050006436;050002948;SSR_TOT;0;17;0;0;172;5994;0;0
SSR;2013;060000163;060780327;SSR_A;;6;;;36;1107;;
SSR;2013;060000163;060780327;SSR_A50;1;6;;0;36;1107;;
SSR;2013;060000163;060780327;SSR_TOT;0;6;;0;36;1107;;
SSR;2013;060000296;060780640;SSR_A;;84;;;961;25521;;
SSR;2013;060000296;060780640;SSR_A50;1;;;0;;;;
SSR;2013;060000296;060780640;SSR_A53;1;42;;0;446;10959;;
SSR;2013;060000296;060780640;SSR_A54;1;42;;0;515;14562;;
SSR;2013;060000296;060780640;SSR_TOT;0;84;;0;961;25521;;
SSR;2013;060000304;060780657;SSR_A;;10;;;132;3237;;
SSR;2013;060000304;060780657;SSR_A50;1;10;;0;132;3237;;
SSR;2013;060000304;060780657;SSR_TOT;0;10;;0;132;3237;;
SSR;2013;060000445;060780814;SSR_A;;73;;;561;20062;;
SSR;2013;060000445;060780814;SSR_A50;1;73;;1;561;20062;;
SSR;2013;060000445;060780814;SSR_TOT;0;73;;0;561;20062;;
SSR;2013;060000478;060780897;SSR_A;;30;;;238;10476;;
SSR;2013;060000478;060780897;SSR_A50;1;30;;0;238;10476;;
SSR;2013;060000478;060780897;SSR_A59;1;;;0;;;;
SSR;2013;060000478;060780897;SSR_TOT;0;30;;0;238;10476;;
SSR;2013;060000486;060780905;SSR_A;;13;;;122;3656;;
SSR;2013;060000486;060780905;SSR_A50;1;13;;0;122;3656;;
SSR;2013;060000486;060780905;SSR_TOT;0;13;;0;122;3656;;
SSR;2013;060000510;060780954;SSR_A;;25;;;335;9082;0;0
SSR;2013;060000510;060780954;SSR_A50;1;25;;0;335;9082;0;0
SSR;2013;060000510;060780954;SSR_A59;1;;;0;;;;
SSR;2013;060000510;060780954;SSR_TOT;0;25;;0;335;9082;0;0
SSR;2013;060000536;060006889;SSR_A;;19;;;137;5377;;
SSR;2013;060000536;060006889;SSR_A50;1;19;;0;137;5377;;
SSR;2013;060000536;060006889;SSR_TOT;0;19;;0;137;5377;;
SSR;2013;060002102;060791761;SSR_A;;27;;;294;9882;;
SSR;2013;060002102;060791761;SSR_A50;1;27;;0;294;9882;;
SSR;2013;060002102;060791761;SSR_TOT;0;27;;0;294;9882;;
SSR;2013;060005469;750043994;SSR_A;;90;;;1203;32168;;
SSR;2013;060005469;750043994;SSR_A50;1;90;;0;1203;32168;;
SSR;2013;060005469;750043994;SSR_A59;1;;;0;;;;
SSR;2013;060005469;750043994;SSR_TOT;0;90;;0;1203;32168;;
SSR;2013;060010188;060000221;SSR_A;;55;;;443;18916;;
SSR;2013;060010188;060000221;SSR_A50;1;55;;0;443;18916;;
SSR;2013;060010188;060000221;SSR_TOT;0;55;;0;443;18916;;
SSR;2013;060015328;060015278;SSR_E;;15;25;;140;2997;4665;4665
SSR;2013;060015328;060015278;SSR_E50;1;15;25;0;140;2997;4665;4665
SSR;2013;060015328;060015278;SSR_TOT;0;15;25;0;140;2997;4665;4665
SSR;2013;060021201;060000155;SSR_A;;50;25;;755;17620;157;5385
SSR;2013;060021201;060000155;SSR_A50;1;20;;0;136;3029;;
SSR;2013;060021201;060000155;SSR_A51;1;30;25;;619;14591;157;5385
SSR;2013;060021201;060000155;SSR_TOT;0;50;25;0;755;17620;157;5385
SSR;2013;060780145;060000049;SSR_A;;82;;;1039;29640;;
SSR;2013;060780145;060000049;SSR_A50;1;14;;0;183;4732;;
SSR;2013;060780145;060000049;SSR_A59;1;68;;0;856;24908;;
SSR;2013;060780145;060000049;SSR_TOT;0;82;;0;1039;29640;;
SSR;2013;060780186;060006939;SSR_A;;52;;;677;19297;;
SSR;2013;060780186;060006939;SSR_A50;1;52;;0;677;19297;;
